Key,Enlish
Kiara/Intro1,Welcome to a talk show HoloTalk!!!
Kiara/Intro2,I am the host. Takanashi Kiara
Kiara/Intro3,I have a speed question for you.
Kiara/Intro4,I will ask you a question. You need to choose the option you prefer. 
Kiara/Intro5,Click the Skip button if no option you prefer. 
Kiara/Intro6,Don't think about it. Just quickly answers the question.
Kiara/Intro7,Are you ready?
Kiara/Intro8,HoloTalk Speed Round!
Kiara/End1,Thank you for answering~
Kiara/End2,We have 12 guests join HoloTalk Speed Round.
Kiara/End3,The guest whose answer is most similar to you is ......
