Key,Enlish
_question,Question
_option0,option0
_option1,option1
_option2,option2
_option3,option3
_option4,option4
_option5,option5
0_question,Hot or cold weather?
0_option0,Hot
0_option1,Cold
1_question,Rice or noodles?
1_option0,Rice
1_option1,Noodles
2_question,Gusto Or Saizeriya?
2_option0,Gusto
2_option1,Saizeriya
2_option2,Both
3_question,Twitter or Instagram?
3_option0,Twitter
3_option1,Instagram
4_question,Coke or Pepsi?
4_option0,Coke
4_option1,Pepsi
5_question,Apple or orange juice?
5_option0,Apple juice
5_option1,Orange juice
6_question,Climb a mountain or run a marathon?
6_option0,Climb a mountain
6_option1,Run a marathon
6_option2,None
7_question,PC or console?
7_option0,PC
7_option1,Console
8_question,Pineapple on pizza yes or no?
8_option0,Yes
8_option1,No
9_question,Spicy or sweet food?
9_option0,Spicy
9_option1,Sweet
10_question,Tea or coffee?
10_option0,Tea
10_option1,Coffee
10_option2,None
11_question,Vacation at beach paradise or at famous metropolitan city?
11_option0,Beach
11_option1,City
12_question,Sleep naked or with clothes?
12_option0,Naked
12_option1,With clothes
13_question,Favorite holiday?
13_option0,Christmas
13_option1,Halloween
13_option2,Labor Thanksgiving day
13_option3,Children's day
13_option4,Everyday
13_option5,New year
14_question,7-eleven FamilyMart or Lawason?
14_option0,7-eleven
14_option1,FamilyMart
14_option2,Lawason
15_question,Texting or talking on the phone?
15_option0,Texting
15_option1,Talking on the phone
16_question,Giving or receiving presents?
16_option0,Giving
16_option1,Receiving
17_question,Walk 1 station or take the train?
17_option0,Walk 1 station
17_option1,Take the train
18_question,What the colour of your panties?
18_option0,Pink
18_option1,White
18_option2,Mint green
18_option3,Black
18_option4,Orange
18_option5,Secret
18_option6,Leave it out to your imagination
18_option7,No panties
18_option8,Red and black
